Play #,Column1,ODK,Dn,Dist,Yard ln,Hash,Off form,Off str,Backfield,Off play,Play type,Play dir,Result,gn/ls,Eff,Def Front,Def Strengh,Blitz,Coverage,Qtr
74,0,O,3,1,-28,R,TRAY LT,L,ACE,,Pass,R,Incomplete,0,N,,,,,3
77,0,O,1,10,50,M,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,3,N,,,,,3
78,0,O,2,7,47,R,DODGE RT,R,,CRISS CROSS,Run,L,Rush,11,Y,,,,,3
79,0,O,1,10,36,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,0,N,,,,,3
80,0,O,2,10,36,L,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,15,Y,,,,,3
81,0,O,1,10,21,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,-1,N,,,,,3
82,0,O,2,11,22,L,TAG LT,R,,BROWN ALL,Pass,R,Complete,5,N,,,,,3
83,0,O,3,6,17,M,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,4,N,,,,,3
84,0,O,4,2,13,R,,,,,,,Penalty,-5,N,,,,,3
101,0,O,1,10,-33,R,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,8,Y,,,,,3
102,0,O,2,2,-41,M,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,1,Y,,,,,3
103,0,O,3,1,-42,M,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,8,Y,,,,,4
104,0,O,1,10,50,M,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,1,N,,,,,4
105,0,O,2,9,49,M,TAG LT,,,,,,Timeout,0,N,,,,,4
106,0,O,2,9,49,M,TAG LT,R,,BROWN ALL,Pass,R,Complete,6,Y,,,,,4
107,0,O,3,3,43,R,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,7,Y,,,,,4
108,0,O,1,10,36,R,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,5,Y,,,,,4
109,0,O,2,5,31,M,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,2,N,,,,,4
110,0,O,3,3,29,M,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,2,N,,,,,4
111,0,O,4,1,27,M,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,-1,N,,,,,4
121,0,O,1,10,-32,M,TAG RT,L,,BROWN ALL,Pass,L,Complete,5,Y,,,,,4
122,0,O,2,5,-37,M,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,7,Y,,,,,4
123,0,O,1,10,-44,L,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,7,Y,,,,,4
124,0,O,2,3,49,M,TAG LT,R,,BROWN ALL,Pass,R,Complete,4,Y,,,,,4
125,0,O,1,10,45,R,TRIPLE LT,L,ACE,E. KEY 2,Pass,L,Complete,3,N,,,,,4
126,0,O,2,7,42,M,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,4,Y,,,,,4
127,0,O,3,3,38,M,TAG RT,L,,BROWN ALL,Pass,L,Complete,4,Y,,,,,4
128,0,O,1,10,34,L,TRIPLE RT,R,ACE,BROWN ALL,Pass,R,Incomplete,0,N,,,,,4
129,0,O,2,10,34,L,DAK RT,BAL,ACE,PACER WHEEL,Pass,L,Scramble,-2,N,,,,,4
130,0,O,3,12,36,L,TRIPLE RT,R,ACE,PACER WHEEL,Pass,R,Incomplete,0,N,,,,,4
131,0,O,4,12,36,L,,,,,,,Penalty,-5,N,,,,,4
132,0,O,4,10,41,L,TRIPLE RT,R,ACE,SEATTLE,Pass,L,Complete,22,Y,,,,,4
134,0,S,,,,M,,,,,,,,,,,,,,4
137,0,O,1,10,25,L,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,9,Y,,,,,4
138,0,O,2,1,16,M,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,2,Y,,,,,4
139,0,O,1,10,14,M,TRAY RT,R,ACE,ZEBRA,Run,L,"Rush, TD",14,Y,,,,,4
141,0,O,1,10,25,L,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,4,Y,,,,,4
142,0,O,2,6,21,L,TRAY RT,R,ACE,ZEBRA,Run,R,"Rush, TD",21,Y,,,,,4
1,0,S,,,,,,,,,,,,,,,,,,1
2,0,S,,,,,,,,,,,,,,,,,,1
3,0,S,,,,,,,,,,,,,,,,,,1
4,0,S,,,,,,,,,,,,,,,,,,1
5,0,S,,,,,,,,,,,,,,,,,,1
6,0,S,,,,,,,,,,,,,,,,,,1
7,0,S,,,,,,,,,,,,,,,,,,1
8,0,K,,,-40,R,,,,,KO,,Out of Bounds,,,,,,,1
13,0,K,4,14,-38,R,,,,,Punt Rec,,Fumble,,,,,,,1
18,0,K,4,12,7,M,,,,,FG Block,,Good,,,,,,,1
19,0,K,,,-40,L,,,,,KO Rec,,Return,,,,,,,1
20,0,O,1,10,-20,M,DODGE LT,R,ACE,ZEBRA,Run,R,Rush,-3,N,,,,,1
21,0,O,2,13,-17,M,EMPTY DODGE,,EMPTY,ROCKET,Pass,L,Complete,6,N,,,,,1
22,0,O,3,7,-23,L,TRIPLE RT,R,ACE,E. KEY 4,Pass,L,Complete,10,Y,,,,,1
23,0,O,1,10,-33,L,DODGE LT,R,,BUCK SWEEP,Run,L,Rush,2,N,,,,,1
24,0,O,2,8,-35,L,TANK RT,L,ACE,ITALY SLIP,Pass,R,Rush,6,Y,,,,,1
25,0,O,3,2,-41,R,,L,ACE,,,,Penalty,5,Y,,,,,1
26,0,O,1,10,-46,R,TANK BUNCH,L,ACE,ZEBRA,Run,L,Penalty,-10,N,,,,,1
27,0,O,1,20,-36,M,TAG LT,R,,BROWN ALL,Pass,R,Complete,8,Y,,,,,1
28,0,O,2,12,-44,R,DAK,BAL,ACE,PACER WHEEL,Pass,L,Incomplete,0,N,,,,,1
29,0,O,3,12,-44,M,TRIPLE LT,L,ACE,,Pass,,Penalty,-5,N,,,,,1
30,0,O,3,17,-39,M,TRIPLE LT,L,ACE,SEATTLE,Pass,R,Incomplete,0,N,,,,,1
31,0,O,4,17,-39,M,,,,,Run,L,Rush,-34,N,,,,,1
36,0,S,,,,,,,,,,,,,,,,,,1
37,0,S,4,14,14,M,,,,,Run,R,Rush,-9,Y,,,,4,2
38,0,O,1,10,-23,L,DODGE LT,R,,BUCK SWEEP,Run,L,Rush,-9,N,,,,,2
39,0,O,1,19,-14,L,TANK LT,L,,L OTTER,Run,R,Rush,3,N,,,,,2
40,0,O,2,16,-17,R,EMPTY LT,,,,,,Timeout,0,N,,,,,2
41,0,O,2,16,-17,R,TRIPLE LT,L,ACE,E. KEY 2,Pass,L,Complete,8,Y,,,,,2
42,0,O,3,8,-25,R,TANK RT,R,,CRISS CROSS,Run,L,Rush,7,N,,,,,2
43,0,O,4,1,-32,M,DODGE 13,,,,,,Timeout,0,N,,,,,2
44,0,K,4,1,-32,M,,,,,Punt,,Return,,,,,,,2
48,0,K,4,9,-33,M,,,,,Punt Rec,,Downed,,,,,,,2
49,0,O,1,10,-49,L,DODGE LT,R,,BUCK SWEEP,Run,L,Rush,3,N,,,,,2
50,0,O,2,7,48,L,TANK,R,,,,,Penalty,-5,N,,,,,2
51,0,O,2,12,-47,L,DODGE LT,R,,BUCK SWEEP,Run,L,Rush,2,N,,,,,2
52,0,O,3,10,-49,L,TRIPLE RT,R,ACE,SILVER,Pass,R,Complete,15,Y,,,,,2
53,0,O,1,10,36,R,DODGE RT,L,,BUCK SWEEP,Run,R,Rush,1,N,,,,,2
54,0,O,2,9,35,R,EMPTY DODGE,,EMPTY,BUCK SWEEP,Run,R,Fumble,7,N,,,,,2
58,0,K,4,1,-37,L,,,,,Punt Rec,,Out of Bounds,,,,,,,2
59,0,O,1,10,-30,R,EMPTY DODGE,,EMPTY,BUCK SWEEP,Run,R,Rush,5,Y,,,,,2
60,0,O,2,5,-35,R,TANK RT,R,,CRISS CROSS,Run,L,Rush,-3,N,,,,,2
61,0,O,3,8,-32,M,TRIPLE LT,L,ACE,KEY 4,Pass,R,Interception,,N,,,,,2
67,0,K,4,18,18,R,,,,,FG Block,,No Good,,,,,,,2
68,0,S,,,,,,,,,,,,,,,,,,2
69,0,K,,,-40,L,,,,,KO Rec,,Touchback,,,,,,,3
70,0,O,1,10,-20,R,TANK BUNCH RT,L,ACE,OTTER,Run,L,Rush,7,Y,,,,,3
71,0,O,2,3,-27,L,TANK BUNCH LT,R,ACE,,,,Penalty,-5,N,,,,,3
72,0,O,2,8,-22,L,TAG LT,R,,,Run,L,Rush,-19,N,,,,,3
73,0,O,3,27,-3,L,TRIPLE LT,L,ACE,BLUE,Pass,R,Penalty,24,N,,,,,3
74,0,O,3,3,-27,L,TRIPLE RT,R,ACE,BLUE,Pass,L,Penalty,27,Y,,,,,3
75,0,O,1,10,46,L,TRIPLE RT,R,ACE,BROWN,Pass,L,Complete,4,Y,,,,,3
76,0,O,2,6,42,L,DODGE,L,,,,,Penalty,-5,N,,,,,3
77,0,O,2,11,47,L,TRIPLE RT,R,ACE,BROWN,Pass,L,Complete,9,Y,,,,,3
78,0,O,3,2,38,L,TRIPLE RT,R,ACE,BLUE,Pass,R,Complete,1,N,,,,,3
79,0,O,4,1,37,R,TRES,L,ACE,,,,Penalty,-5,N,,,,,3
80,0,O,4,10,42,R,TRIPLE LT,L,ACE,BROWN,Pass,R,Complete,24,Y,,,,,3
81,0,O,1,10,18,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,4,Y,,,,,3
82,0,O,2,6,14,R,TRIPLE LT,L,ACE,SEATTLE STOP,Pass,L,Incomplete,0,N,,,,,3
83,0,O,3,6,14,R,,,,,,,Penalty,-5,N,,,,,3
84,0,O,3,11,19,R,TRIPLE LT,L,ACE,SEATTLE,Pass,R,Incomplete,0,N,,,,,3
85,0,K,4,11,19,M,,,,,FG,,No Good,,,,,,,3
86,0,S,,,,,,,,,,,,,,,,,,3
91,0,S,,,,,,,,,,,,,,,,,,3
92,0,K,,,3,M,,,,,Extra Pt. Block,,Good,,,,,,,3
93,0,S,,,,,,,,,,,,,,,,,,3
94,0,K,,,-40,L,,,,,KO Rec,,Return,,,,,,,3
95,0,O,1,10,-25,R,OVERLOAD,R,ACE,OTTER,Run,R,Rush,21,Y,,,,,3
96,0,O,1,10,-46,R,TAG RT,L,,BROWN ALL,Pass,L,Complete,7,Y,,,,,3
97,0,O,2,3,47,L,TRIPLE RT,R,ACE,BLUE,Pass,R,Incomplete,0,N,,,,,3
98,0,O,3,3,47,M,OVERLOAD,R,ACE,OTTER,Run,R,Rush,2,N,,,,,3
99,0,O,4,1,45,M,OVERLOAD,R,ACE,OTTER,Run,R,Rush,14,Y,,,,,3
100,0,O,1,10,31,L,OVERLOAD,L,ACE,OTTER,Run,L,Penalty,-10,N,,,,,3
101,0,O,1,20,41,M,TRIPLE RT,R,ACE,BLUE,Pass,R,Complete,5,N,,,,,3
102,0,O,2,15,36,R,TRIPLE LT,L,ACE,SILVER,Pass,L,Incomplete,0,N,,,,,3
103,0,O,3,15,36,M,TRIPLE LT,L,ACE,SEATTLE STOP,Pass,L,Incomplete,0,N,,,,,3
104,0,O,4,15,36,R,TRIPLE LT,L,ACE,,,,Penalty,-5,N,,,,,3
105,0,O,4,10,41,R,TRIPLE LT,L,ACE,BLUE,Pass,L,Incomplete,0,N,,,,,3
110,0,K,4,8,-43,L,,,,,Punt Rec,,Downed,,,,,,,3
111,0,O,1,10,-19,M,TAG LT,R,ACE,BROWN ALL,Pass,R,Complete,5,Y,,,,,3
112,0,O,2,5,-24,M,TRIPLE LT,L,ACE,BLUE,Pass,L,Complete,6,Y,,,,,3
113,0,O,1,10,-30,L,TRIPLE RT,R,ACE,BROWN ALL,Pass,R,Incomplete,0,N,,,,,4
114,0,O,2,10,-30,L,TRIPLE RT,R,ACE,SEATTLE STOP,Pass,L,Complete,22,Y,,,,,4
115,0,O,1,10,48,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,5,Y,,,,,4
116,0,O,2,5,43,L,TANK LT,R,,L OTTER,Run,R,Rush,5,Y,,,,,4
117,0,O,1,10,38,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,5,Y,,,,,4
118,0,O,2,5,33,R,TAG RT,L,,BROWN ALL,Pass,L,Complete,1,N,,,,,4
119,0,O,3,4,32,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,13,Y,,,,,4
120,0,O,1,10,19,L,EMPTY DODGE,,EMPTY,ROCKET,Pass,R,Complete,-1,N,,,,,4
121,0,O,2,11,20,R,TAG RT,L,,BROWN ALL,Pass,L,Complete,8,Y,,,,,4
122,0,O,3,3,12,L,DODGE LT,BAL,,BUCK SWEEP,Run,L,Rush,7,Y,,,,,4
123,0,O,1,5,5,L,DODGE LT,,,BUCK SWEEP,Run,L,"Rush, TD",5,Y,,,,,4
124,0,S,,,,L,,,,,,,,,,,,,,4
125,0,K,,,3,M,,,,,Extra Pt.,,Good,,,,,,,4
126,0,S,,,,,,,,,,,,,,,,,,4
127,0,K,,,-45,L,,,,,Onside Kick,,Recovered,,,,,,,4
134,0,K,4,8,46,M,,,,,Fake Punt,,Penalty,5,,,,,,4
136,0,O,1,10,-41,M,TAG LT,R,,SILVER,Pass,R,Complete,1,N,,,,,4
137,0,O,2,9,-42,R,TAG RT,L,,BROWN ALL,Pass,L,Complete,22,Y,,,,,4
138,0,O,1,10,36,L,TRIPLE RT,R,ACE,SEATTLE,Pass,L,Penalty,-5,N,,,,,4
139,0,O,1,15,41,L,TRIPLE RT,R,ACE,BROWN ALL,Pass,L,Penalty,5,N,,,,,4
140,0,O,2,10,36,L,TRIPLE RT,R,ACE,BLUE,Pass,L,"Complete, TD",36,Y,,,,,4
141,0,S,,,,,,,,,,,,,,,,,,4
142,0,K,,,3,M,,,,,Extra Pt.,,Good,,,,,,,4
143,0,S,,,,,,,,,,,,,,,,,,4
144,0,K,,,-25,L,,,,,KO,,Penalty,,,,,,,4
145,0,K,,,-20,L,,,,,KO,,Return,,,,,,,4
150,0,S,,,,,,,,,,,,,,,,,,4
151,0,K,,,3,M,,,,,Extra Pt. Block,,Good,,,,,,,4
152,0,S,,,,,,,,,,,,,,,,,,4
153,0,K,,,-40,L,,,,,KO Rec,,Return,,,,,,,4
154,0,O,1,10,-20,L,TRIPLE RT,R,ACE,E. KEY 4,Pass,L,Complete,12,Y,,,,,4
155,0,O,1,10,-32,L,DAK RT,BAL,ACE,PACER WHEEL,Pass,L,Complete,18,Y,,,,,4
156,0,O,1,10,50,L,DAK,BAL,ACE,,,,Penalty,-5,N,,,,,4
157,0,O,2,15,-45,L,DAK RT,BAL,ACE,PACER WHEEL,Pass,L,Complete,31,Y,,,,,4
158,0,O,3,10,24,M,TRIPLE RT,R,ACE,SEATTLE,Pass,L,Incomplete,0,N,,,,,4
159,0,K,4,10,24,L,,,,,FG,,Penalty,-5,,,,,,4
160,0,K,4,15,20,L,,,,,FG,,Good,,,,,,,4
161,0,S,,,,,,,,,,,,,,,,,,4
168,0,S,,,,,,,,,,,,,,,,,,4
169,0,K,,,3,M,,,,,Extra Pt. Block,,No Good,,,,,,,4
170,0,S,,,,,,,,,,,,,,,,,,4
171,0,O,1,10,25,R,DODGE RT,L,,BUCK SWEEP,Run,R,Rush,1,N,,,,,4
172,0,O,2,9,24,R,TAG RT,L,ACE,BROWN ALL,Pass,L,Complete,1,N,,,,,4
173,0,O,3,8,23,L,TRIPLE RT,R,ACE,BLUE,Pass,R,Incomplete,0,N,,,,,4
174,0,O,4,8,23,L,DAK RT,BAL,ACE,PACER WHEEL,Pass,L,Scramble,5,N,,,,,4
2,0,K,,,-40,L,EMPTY,R,EMPTY,,KO,,Return,,,,,,,1
3,0,D,1,10,-24,R,PRO,R,,,Pass,L,Incomplete,0,Y,,,,,1
4,0,D,2,10,-24,R,DODGE,R,,OTTER ROCKET,Pass,L,Complete,-1,Y,OVER,,,,1
5,0,D,3,11,-23,L,,L,,,Run,R,Rush,3,Y,,,,,1
6,0,K,4,8,-26,M,Duke Off,BAL,ACE,,Punt Rec,,Fair Catch,,,,,,,1
7,0,O,1,10,-47,M,TWINS,BAL,ACE,,Pass,L,Incomplete,0,N,,,,,1
8,0,O,2,10,-47,M,TWINS,BAL,ACE,,Run,L,Rush,12,Y,,,,,1
9,0,O,1,10,41,L,BASE 3 BACK,BAL,,,Run,R,Penalty,-8,N,,,,,1
10,0,O,1,18,49,L,TRIPS,R,ACE,,Pass,R,Sack,-5,N,,,,,1
11,0,O,2,23,-46,L,TRIPS,R,ACE,,,,Penalty,-5,N,,,,,1
12,0,O,2,28,-41,L,DAK,BAL,,,,,Penalty,-5,N,,,,,1
13,0,O,2,33,-36,L,TRIPS,R,ACE,,Pass,R,Complete,27,Y,,,,,1
14,0,O,3,6,37,M,DUBS ACE,R,,,Pass,R,Incomplete,0,N,,,,,1
15,0,O,4,6,37,M,,,,,,,Penalty,-5,N,,,,,1
16,0,K,4,11,42,M,,,,,Punt,,Fair Catch,,,,,,,1
17,0,D,1,10,-17,M,,R,,,Run,R,Rush,11,N,,,,,1
18,0,D,1,10,-28,R,SLOT,L,,,Run,L,Rush,10,N,,,,,1
19,0,D,1,10,-38,L,,R,,,Run,R,Rush,19,N,,,,,1
20,0,D,1,10,43,L,,R,,,Run,R,Penalty,-10,Y,,,,,1
21,0,D,1,20,-47,L,,,,,Run,R,Rush,14,N,,,,,1
22,0,D,2,6,39,L,,R,,,Run,R,Rush,10,N,,,,,1
23,0,D,1,10,29,M,DODGE,R,,,Run,R,"Rush, TD",29,N,,,,,1
24,0,K,0,,3,M,,,,,2 Pt. Defend,R,No Good,,,,,,,1
25,0,S,0,,,,,,,,,,,,,,,,,1
26,0,K,1,10,-40,M,,,,,KO Rec,,Return,,,,,,,1
27,0,O,1,10,-41,R,,,ACE,,Run,L,Rush,-1,N,,,,,1
28,0,O,2,11,-40,M,SQUEEZE TRIPLE BUNCH,L,ACE,,Run,L,Rush,6,Y,,,,,1
29,0,O,3,5,-46,L,TWINS,BAL,ACE,,Pass,L,Complete,3,N,,,,,1
30,0,O,4,2,-49,L,TWINS,BAL,ACE,,,,Timeout,0,N,,,,,1
31,0,K,4,2,-49,L,BASE 3 BACK,BAL,,,Punt,,Downed,,,,,,,1
32,0,D,1,10,-31,R,DODGE,R,,,Run,L,Rush,13,N,,,,,1
33,0,D,1,10,-44,L,SLOT,R,,,Run,L,Rush,4,N,,,,,1
34,0,D,2,6,-48,L,SLOT,R,,,Pass,R,"Complete, TD",52,N,,,,,1
