Play #,Column1,ODK,Dn,Dist,Yard ln,Hash,Off form,Off str,Backfield,Off play,Play type,Play dir,Result,gn/ls,Eff,Def Front,Def Strengh,Blitz,Coverage,Qtr
105,0,D,1,10,18,R,TRIPS,L,ACE,,Pass,L,Incomplete,0,Y,,,,,4
106,0,D,2,10,18,R,,,,,Run,R,Rush,0,Y,,,,,4
107,0,D,3,10,18,R,TRIPS,L,ACE,,Pass,L,Complete,11,N,,,,,4
108,0,D,1,7,7,L,DOUBLES,L,,,Run,R,Rush,4,N,,,,,4
109,0,D,2,3,3,L,DOUBLES,L,,,Run,L,Rush,-2,Y,,,,,4
110,0,D,3,5,5,L,DAK,BAL,,,Pass,L,"Complete, TD",5,N,,,,,4
111,0,K,0,,3,M,,,,,Extra Pt. Block,,Good,,,,,,,4
112,0,K,0,,-40,M,,,,,KO Rec,,Return,,,,,,,4
113,0,O,1,10,-27,M,TRES,R,ACE,,Run,L,Rush,2,N,,,,,4
114,0,O,2,8,-29,M,DOUBLES,L,ACE,,Run,R,Rush,3,N,,,,,4
115,0,O,3,5,-32,R,TRAILER OFF,L,,,Pass,L,Complete,2,N,,,,,4
116,0,K,4,3,-34,L,,,,,Punt,,Downed,,,,,,,4
117,0,D,1,10,-41,L,DAK,BAL,,,Pass,R,Complete,1,Y,,,,,4
118,0,D,2,9,-42,R,TRIPS,L,,,Run,L,Rush,4,Y,,,,,4
119,0,D,3,5,-46,R,TRIPS,L,,,Run,R,Rush,11,N,,,,,4
120,0,D,1,10,43,R,,,,,Run,,Rush,-1,Y,,,,,4
